budget_range,weather_preference,fantasy_type,event_interest,destination
1814,Desert,Romantic,Hiking,Aspen
4037,Snowy,Luxury,Skiing,Maldives
677,Tropical,Wellness,Museums,Rome
4558,Rainy,Luxury,Museums,Kenya Safari
4597,Desert,Wellness,Camping,Maldives
5926,Desert,Romantic,Beaches,Bali
1945,Rainy,Budget-friendly,Camping,Paris
8595,Rainy,Adventure,Beaches,Sydney
9484,Tropical,Cultural,Festivals,Rome
7485,Desert,Adventure,Nightlife,Maldives
8447,Rainy,Cultural,Camping,Kenya Safari
7359,Moderate,Romantic,Camping,Kenya Safari
7937,Tropical,Wellness,Nightlife,Maldives
4486,Rainy,Luxury,Museums,Rome
3433,Desert,Luxury,Museums,Maldives
4526,Moderate,Romantic,Hiking,Paris
8316,Snowy,Adventure,Museums,Kenya Safari
9020,Moderate,Cultural,Festivals,Rome
7779,Tropical,Luxury,Beaches,Maldives
7410,Rainy,Wellness,Beaches,Rome
3824,Rainy,Budget-friendly,Nightlife,Bali
3771,Rainy,Luxury,Museums,Bali
4088,Moderate,Budget-friendly,Hiking,Bali
5560,Rainy,Luxury,Camping,Kenya Safari
5071,Moderate,Budget-friendly,Nightlife,Paris
5617,Rainy,Cultural,Wildlife,Dubai
3996,Tropical,Wellness,Nightlife,Aspen
4452,Snowy,Luxury,Beaches,Paris
3871,Moderate,Adventure,Camping,Dubai
5994,Moderate,Wellness,Festivals,Paris
3989,Rainy,Luxury,Festivals,Aspen
7050,Desert,Luxury,Nightlife,Sydney
5824,Rainy,Romantic,Beaches,Maldives
1031,Tropical,Romantic,Hiking,Kenya Safari
4939,Desert,Luxury,Beaches,Yellowstone
4917,Desert,Adventure,Skiing,Aspen
8159,Tropical,Adventure,Nightlife,Kenya Safari
4892,Desert,Adventure,Museums,Aspen
4541,Moderate,Wellness,Museums,Paris
1541,Moderate,Adventure,Nightlife,Dubai
932,Tropical,Cultural,Skiing,Maldives
1700,Moderate,Adventure,Camping,Kenya Safari
1685,Snowy,Wellness,Beaches,Bali
887,Snowy,Luxury,Nightlife,Maldives
759,Rainy,Budget-friendly,Festivals,Tokyo
6557,Tropical,Cultural,Museums,Maldives
1302,Rainy,Cultural,Camping,Maldives
1379,Snowy,Cultural,Beaches,Dubai
8650,Moderate,Adventure,Wildlife,Rome
4154,Desert,Luxury,Wildlife,Bali
2896,Desert,Cultural,Camping,Tokyo
822,Tropical,Wellness,Camping,Dubai
6298,Desert,Budget-friendly,Camping,Bali
4017,Tropical,Romantic,Wildlife,Maldives
8511,Snowy,Romantic,Wildlife,Maldives
5351,Rainy,Luxury,Festivals,Dubai
6614,Tropical,Budget-friendly,Wildlife,Tokyo
2598,Moderate,Cultural,Camping,Aspen
2320,Moderate,Adventure,Hiking,Paris
950,Moderate,Wellness,Camping,Dubai
5599,Moderate,Adventure,Camping,Bali
3298,Rainy,Romantic,Hiking,Bali
8683,Rainy,Wellness,Nightlife,Aspen
2885,Moderate,Budget-friendly,Festivals,Yellowstone
1096,Desert,Wellness,Skiing,Maldives
9332,Rainy,Adventure,Beaches,Sydney
3595,Desert,Wellness,Beaches,Paris
9705,Rainy,Cultural,Hiking,Maldives
2638,Moderate,Luxury,Hiking,Maldives
3252,Rainy,Romantic,Camping,Aspen
3443,Rainy,Romantic,Nightlife,Tokyo
3059,Rainy,Wellness,Hiking,Maldives
9545,Rainy,Wellness,Wildlife,Bali
4557,Snowy,Wellness,Wildlife,Tokyo
1203,Desert,Adventure,Camping,Sydney
6997,Tropical,Romantic,Beaches,Sydney
1351,Rainy,Budget-friendly,Camping,Sydney
4740,Tropical,Adventure,Festivals,Paris
1158,Desert,Luxury,Museums,Bali
5543,Moderate,Wellness,Festivals,Dubai
2127,Tropical,Luxury,Festivals,Bali
740,Moderate,Wellness,Camping,Dubai
9315,Tropical,Luxury,Hiking,Tokyo
5565,Rainy,Wellness,Nightlife,Dubai
691,Tropical,Romantic,Wildlife,Rome
2585,Rainy,Luxury,Hiking,Kenya Safari
4874,Desert,Budget-friendly,Camping,Kenya Safari
6138,Tropical,Adventure,Museums,Dubai
3207,Rainy,Cultural,Beaches,Aspen
6581,Tropical,Luxury,Hiking,Bali
6653,Snowy,Budget-friendly,Wildlife,Tokyo
1598,Rainy,Cultural,Wildlife,Sydney
1676,Moderate,Adventure,Festivals,Rome
6600,Rainy,Wellness,Beaches,Sydney
623,Rainy,Luxury,Wildlife,Kenya Safari
1747,Tropical,Romantic,Hiking,Rome
2669,Tropical,Cultural,Skiing,Tokyo
8291,Rainy,Budget-friendly,Skiing,Yellowstone
5766,Rainy,Romantic,Hiking,Aspen
6154,Moderate,Romantic,Wildlife,Rome
3725,Snowy,Budget-friendly,Camping,Rome
3381,Desert,Budget-friendly,Skiing,Rome
3785,Snowy,Adventure,Festivals,Aspen
779,Rainy,Cultural,Beaches,Paris
7560,Rainy,Adventure,Beaches,Yellowstone
6719,Tropical,Wellness,Nightlife,Kenya Safari
8643,Rainy,Luxury,Beaches,Tokyo
3236,Rainy,Romantic,Nightlife,Kenya Safari
8514,Tropical,Cultural,Skiing,Sydney
6647,Snowy,Budget-friendly,Nightlife,Maldives
7425,Moderate,Luxury,Skiing,Paris
3664,Snowy,Romantic,Wildlife,Dubai
6548,Tropical,Luxury,Festivals,Kenya Safari
8907,Desert,Adventure,Wildlife,Kenya Safari
2734,Tropical,Budget-friendly,Festivals,Kenya Safari
9731,Rainy,Cultural,Camping,Dubai
6318,Tropical,Cultural,Camping,Bali
503,Desert,Budget-friendly,Camping,Aspen
9314,Snowy,Budget-friendly,Skiing,Tokyo
3140,Moderate,Romantic,Museums,Yellowstone
2493,Rainy,Wellness,Beaches,Bali
9263,Desert,Wellness,Beaches,Aspen
7241,Tropical,Adventure,Nightlife,Dubai
572,Rainy,Wellness,Hiking,Maldives
9603,Desert,Luxury,Festivals,Dubai
8171,Rainy,Adventure,Camping,Yellowstone
5963,Rainy,Adventure,Hiking,Maldives
2062,Snowy,Romantic,Skiing,Dubai
8998,Snowy,Cultural,Nightlife,Aspen
3014,Snowy,Budget-friendly,Beaches,Bali
7290,Desert,Wellness,Camping,Rome
6323,Rainy,Adventure,Festivals,Paris
5306,Desert,Wellness,Skiing,Aspen
1084,Snowy,Budget-friendly,Wildlife,Dubai
5853,Rainy,Wellness,Museums,Kenya Safari
9491,Rainy,Romantic,Festivals,Bali
7500,Rainy,Wellness,Skiing,Tokyo
3818,Desert,Cultural,Nightlife,Aspen
4701,Desert,Romantic,Camping,Bali
6495,Tropical,Luxury,Nightlife,Sydney
7265,Rainy,Budget-friendly,Nightlife,Bali
6214,Snowy,Luxury,Skiing,Kenya Safari
2496,Snowy,Luxury,Museums,Kenya Safari
873,Moderate,Luxury,Festivals,Aspen
7153,Snowy,Cultural,Nightlife,Sydney
723,Tropical,Cultural,Beaches,Maldives
8355,Tropical,Romantic,Museums,Rome
9900,Moderate,Romantic,Nightlife,Paris
7197,Rainy,Cultural,Beaches,Aspen
9639,Snowy,Romantic,Wildlife,Dubai
4050,Tropical,Wellness,Festivals,Tokyo
6393,Desert,Romantic,Festivals,Paris
6161,Moderate,Adventure,Nightlife,Paris
675,Tropical,Budget-friendly,Museums,Rome
2209,Tropical,Adventure,Skiing,Paris
9194,Moderate,Wellness,Nightlife,Dubai
9291,Tropical,Romantic,Hiking,Bali
6178,Rainy,Luxury,Festivals,Tokyo
2655,Rainy,Adventure,Camping,Yellowstone
6322,Moderate,Adventure,Museums,Rome
3600,Snowy,Wellness,Skiing,Bali
3175,Moderate,Cultural,Nightlife,Tokyo
9896,Desert,Budget-friendly,Camping,Tokyo
5864,Snowy,Romantic,Wildlife,Yellowstone
8039,Moderate,Cultural,Nightlife,Sydney
1920,Moderate,Budget-friendly,Museums,Paris
4221,Desert,Adventure,Festivals,Aspen
3811,Snowy,Luxury,Hiking,Yellowstone
5756,Rainy,Adventure,Hiking,Sydney
3191,Rainy,Cultural,Hiking,Tokyo
7325,Tropical,Romantic,Beaches,Kenya Safari
6096,Snowy,Budget-friendly,Nightlife,Paris
9166,Snowy,Cultural,Skiing,Aspen
719,Snowy,Romantic,Museums,Yellowstone
1190,Desert,Romantic,Nightlife,Maldives
4929,Rainy,Budget-friendly,Camping,Tokyo
508,Rainy,Luxury,Camping,Bali
2917,Tropical,Wellness,Beaches,Tokyo
1116,Rainy,Luxury,Beaches,Paris
5299,Moderate,Romantic,Nightlife,Aspen
3197,Moderate,Cultural,Hiking,Bali
2396,Rainy,Romantic,Nightlife,Sydney
4881,Tropical,Luxury,Nightlife,Dubai
1473,Rainy,Budget-friendly,Beaches,Rome
7294,Rainy,Wellness,Beaches,Sydney
8733,Snowy,Cultural,Skiing,Rome
6687,Tropical,Adventure,Camping,Bali
8834,Desert,Cultural,Museums,Yellowstone
8739,Tropical,Cultural,Museums,Paris
5236,Snowy,Romantic,Skiing,Maldives
9736,Snowy,Luxury,Beaches,Maldives
3760,Snowy,Cultural,Museums,Kenya Safari
740,Desert,Luxury,Museums,Rome
3936,Snowy,Romantic,Wildlife,Maldives
8098,Tropical,Cultural,Skiing,Rome
9265,Desert,Cultural,Festivals,Tokyo
4020,Rainy,Cultural,Wildlife,Maldives
9286,Tropical,Wellness,Nightlife,Sydney
7630,Moderate,Cultural,Festivals,Tokyo
8636,Desert,Cultural,Museums,Kenya Safari
6535,Tropical,Cultural,Museums,Maldives
4964,Desert,Luxury,Museums,Kenya Safari
7391,Snowy,Adventure,Wildlife,Kenya Safari
8122,Tropical,Wellness,Museums,Rome
8377,Rainy,Wellness,Skiing,Tokyo
4058,Tropical,Romantic,Beaches,Aspen
7771,Desert,Wellness,Skiing,Rome
1708,Moderate,Adventure,Skiing,Rome
9270,Moderate,Cultural,Festivals,Bali
5895,Rainy,Wellness,Skiing,Bali
586,Snowy,Cultural,Wildlife,Aspen
7557,Moderate,Cultural,Museums,Maldives
9002,Snowy,Wellness,Skiing,Maldives
5529,Moderate,Romantic,Hiking,Rome
4870,Tropical,Wellness,Museums,Rome
8233,Tropical,Luxury,Beaches,Bali
3695,Moderate,Cultural,Camping,Yellowstone
3817,Rainy,Luxury,Wildlife,Paris
5728,Moderate,Romantic,Camping,Kenya Safari
4445,Snowy,Wellness,Nightlife,Kenya Safari
3585,Moderate,Budget-friendly,Wildlife,Sydney
4222,Moderate,Wellness,Festivals,Rome
3289,Tropical,Budget-friendly,Festivals,Dubai
5800,Rainy,Luxury,Wildlife,Maldives
7362,Snowy,Luxury,Festivals,Kenya Safari
848,Tropical,Cultural,Hiking,Paris
4462,Moderate,Wellness,Festivals,Rome
8336,Snowy,Romantic,Hiking,Yellowstone
1028,Snowy,Luxury,Beaches,Dubai
7615,Tropical,Luxury,Wildlife,Maldives
3389,Tropical,Wellness,Wildlife,Dubai
873,Tropical,Adventure,Camping,Yellowstone
9056,Snowy,Luxury,Festivals,Kenya Safari
991,Rainy,Romantic,Beaches,Maldives
1425,Moderate,Romantic,Camping,Bali
2293,Desert,Luxury,Beaches,Rome
8444,Snowy,Romantic,Wildlife,Maldives
5931,Desert,Wellness,Festivals,Yellowstone
3676,Snowy,Wellness,Wildlife,Aspen
6432,Snowy,Wellness,Beaches,Dubai
8479,Moderate,Wellness,Festivals,Dubai
8486,Desert,Wellness,Skiing,Kenya Safari
5199,Rainy,Romantic,Nightlife,Bali
2430,Moderate,Luxury,Skiing,Yellowstone
7247,Snowy,Budget-friendly,Skiing,Bali
8379,Moderate,Luxury,Hiking,Yellowstone
8481,Snowy,Wellness,Festivals,Rome
9759,Snowy,Luxury,Nightlife,Bali
6168,Rainy,Adventure,Skiing,Paris
9934,Moderate,Luxury,Camping,Dubai
1320,Snowy,Luxury,Camping,Yellowstone
6969,Moderate,Cultural,Festivals,Aspen
5468,Desert,Wellness,Nightlife,Aspen
6824,Snowy,Romantic,Wildlife,Tokyo
5325,Desert,Adventure,Wildlife,Tokyo
785,Desert,Luxury,Hiking,Kenya Safari
796,Rainy,Adventure,Beaches,Aspen
9510,Desert,Romantic,Camping,Maldives
9298,Tropical,Budget-friendly,Hiking,Maldives
5271,Snowy,Cultural,Wildlife,Aspen
9004,Rainy,Budget-friendly,Beaches,Maldives
4754,Moderate,Wellness,Hiking,Sydney
9527,Tropical,Adventure,Hiking,Aspen
792,Moderate,Luxury,Museums,Rome
5117,Desert,Adventure,Festivals,Tokyo
1969,Snowy,Cultural,Camping,Aspen
9774,Rainy,Romantic,Skiing,Paris
2010,Rainy,Adventure,Camping,Dubai
3384,Rainy,Luxury,Nightlife,Aspen
3242,Moderate,Romantic,Beaches,Dubai
8446,Desert,Budget-friendly,Festivals,Maldives
7766,Desert,Budget-friendly,Skiing,Tokyo
2360,Snowy,Luxury,Hiking,Bali
4976,Desert,Cultural,Festivals,Rome
7685,Moderate,Romantic,Beaches,Dubai
8025,Desert,Luxury,Camping,Yellowstone
607,Snowy,Adventure,Wildlife,Paris
8579,Rainy,Adventure,Hiking,Tokyo
9283,Desert,Cultural,Hiking,Bali
4315,Rainy,Luxury,Wildlife,Maldives
9067,Desert,Luxury,Camping,Aspen
3109,Desert,Wellness,Beaches,Sydney
3520,Moderate,Romantic,Beaches,Paris
2190,Tropical,Cultural,Skiing,Rome
5646,Rainy,Budget-friendly,Nightlife,Bali
3195,Desert,Luxury,Hiking,Yellowstone
1815,Tropical,Wellness,Beaches,Aspen
2094,Desert,Cultural,Nightlife,Kenya Safari
3979,Snowy,Adventure,Hiking,Kenya Safari
766,Tropical,Cultural,Skiing,Aspen
9007,Desert,Cultural,Beaches,Tokyo
6268,Snowy,Romantic,Museums,Rome
9685,Moderate,Romantic,Festivals,Aspen
7489,Rainy,Romantic,Skiing,Yellowstone
3072,Moderate,Budget-friendly,Nightlife,Bali
8760,Moderate,Adventure,Hiking,Sydney
1674,Desert,Cultural,Wildlife,Maldives
5735,Tropical,Wellness,Festivals,Aspen
3477,Moderate,Cultural,Nightlife,Yellowstone
6134,Desert,Adventure,Wildlife,Maldives
5532,Snowy,Cultural,Festivals,Tokyo
5666,Rainy,Luxury,Museums,Bali
1881,Snowy,Wellness,Beaches,Aspen
3019,Tropical,Adventure,Hiking,Aspen
1583,Moderate,Cultural,Camping,Rome
9562,Rainy,Wellness,Museums,Yellowstone
7819,Rainy,Wellness,Festivals,Yellowstone
5543,Rainy,Romantic,Museums,Paris
4366,Desert,Adventure,Museums,Maldives
6738,Rainy,Romantic,Skiing,Bali
6187,Rainy,Romantic,Nightlife,Yellowstone
1137,Snowy,Luxury,Skiing,Sydney
6340,Desert,Luxury,Hiking,Bali
8223,Rainy,Budget-friendly,Hiking,Kenya Safari
1089,Rainy,Romantic,Skiing,Paris
4471,Rainy,Budget-friendly,Beaches,Bali
1345,Snowy,Adventure,Beaches,Tokyo
5040,Snowy,Wellness,Hiking,Maldives
3063,Rainy,Luxury,Skiing,Kenya Safari
8729,Snowy,Romantic,Nightlife,Tokyo
9238,Tropical,Wellness,Hiking,Aspen
2559,Moderate,Adventure,Museums,Paris
8786,Moderate,Adventure,Camping,Dubai
3971,Moderate,Luxury,Nightlife,Yellowstone
9405,Rainy,Wellness,Nightlife,Bali
9819,Moderate,Luxury,Skiing,Paris
6840,Snowy,Adventure,Wildlife,Bali
2968,Rainy,Wellness,Nightlife,Sydney
5784,Desert,Adventure,Wildlife,Rome
10000,Desert,Luxury,Hiking,Kenya Safari
5816,Rainy,Cultural,Wildlife,Maldives
1506,Desert,Adventure,Wildlife,Aspen
8428,Snowy,Budget-friendly,Nightlife,Aspen
4218,Rainy,Adventure,Nightlife,Yellowstone
597,Tropical,Adventure,Nightlife,Dubai
3288,Moderate,Cultural,Festivals,Dubai
2862,Snowy,Luxury,Wildlife,Paris
1463,Snowy,Adventure,Nightlife,Dubai
1570,Tropical,Budget-friendly,Camping,Dubai
9589,Snowy,Adventure,Wildlife,Tokyo
937,Snowy,Budget-friendly,Skiing,Rome
4904,Moderate,Budget-friendly,Wildlife,Dubai
5456,Desert,Budget-friendly,Beaches,Tokyo
1630,Rainy,Romantic,Festivals,Sydney
6337,Moderate,Cultural,Beaches,Bali
6713,Desert,Budget-friendly,Camping,Paris
6412,Moderate,Romantic,Beaches,Yellowstone
2439,Rainy,Romantic,Wildlife,Sydney
4484,Tropical,Wellness,Beaches,Aspen
7204,Snowy,Luxury,Hiking,Bali
1284,Tropical,Romantic,Hiking,Bali
7227,Tropical,Adventure,Nightlife,Yellowstone
4415,Tropical,Romantic,Wildlife,Dubai
2064,Moderate,Luxury,Nightlife,Sydney
8765,Desert,Luxury,Skiing,Kenya Safari
1714,Desert,Budget-friendly,Skiing,Aspen
503,Desert,Adventure,Festivals,Maldives
8656,Tropical,Luxury,Nightlife,Paris
9801,Tropical,Luxury,Nightlife,Tokyo
7279,Tropical,Romantic,Skiing,Paris
4923,Tropical,Wellness,Festivals,Bali
5303,Moderate,Romantic,Festivals,Bali
8864,Desert,Cultural,Beaches,Dubai
5126,Desert,Budget-friendly,Nightlife,Sydney
2748,Tropical,Luxury,Skiing,Dubai
1893,Desert,Adventure,Camping,Maldives
7629,Rainy,Adventure,Museums,Maldives
5843,Snowy,Romantic,Skiing,Yellowstone
8402,Snowy,Adventure,Wildlife,Rome
2355,Snowy,Adventure,Hiking,Kenya Safari
4164,Snowy,Adventure,Wildlife,Kenya Safari
4187,Moderate,Budget-friendly,Museums,Bali
6724,Rainy,Adventure,Wildlife,Paris
7661,Rainy,Budget-friendly,Beaches,Rome
2785,Rainy,Romantic,Museums,Tokyo
7885,Moderate,Wellness,Camping,Aspen
5111,Moderate,Romantic,Hiking,Kenya Safari
3048,Moderate,Romantic,Wildlife,Sydney
4605,Rainy,Adventure,Hiking,Paris
2404,Desert,Adventure,Skiing,Maldives
4101,Moderate,Luxury,Camping,Sydney
4372,Rainy,Adventure,Museums,Yellowstone
2712,Rainy,Budget-friendly,Beaches,Aspen
1365,Desert,Budget-friendly,Camping,Bali
1384,Snowy,Budget-friendly,Festivals,Paris
8913,Rainy,Luxury,Nightlife,Maldives
9173,Desert,Cultural,Festivals,Maldives
4564,Tropical,Wellness,Festivals,Maldives
7365,Snowy,Adventure,Nightlife,Aspen
8665,Rainy,Budget-friendly,Festivals,Aspen
2517,Desert,Budget-friendly,Beaches,Paris
7919,Tropical,Wellness,Hiking,Rome
9482,Tropical,Luxury,Nightlife,Aspen
8394,Tropical,Wellness,Beaches,Paris
5552,Rainy,Cultural,Beaches,Rome
7178,Rainy,Wellness,Wildlife,Aspen
2117,Desert,Wellness,Beaches,Yellowstone
9117,Desert,Adventure,Hiking,Sydney
7778,Rainy,Luxury,Camping,Kenya Safari
2794,Snowy,Luxury,Camping,Rome
1340,Rainy,Adventure,Museums,Aspen
1932,Moderate,Luxury,Nightlife,Dubai
4145,Rainy,Romantic,Camping,Kenya Safari
1177,Rainy,Luxury,Beaches,Maldives
4529,Rainy,Cultural,Museums,Yellowstone
5545,Desert,Romantic,Festivals,Kenya Safari
8309,Tropical,Luxury,Beaches,Sydney
8659,Desert,Romantic,Camping,Yellowstone
5265,Rainy,Adventure,Festivals,Rome
8095,Tropical,Adventure,Beaches,Kenya Safari
6459,Rainy,Romantic,Festivals,Dubai
7877,Tropical,Wellness,Camping,Paris
8072,Snowy,Wellness,Wildlife,Bali
2561,Tropical,Luxury,Festivals,Bali
8754,Rainy,Romantic,Nightlife,Paris
4232,Tropical,Adventure,Skiing,Bali
1126,Moderate,Cultural,Skiing,Paris
5789,Tropical,Luxury,Wildlife,Rome
6948,Moderate,Luxury,Beaches,Kenya Safari
2941,Tropical,Adventure,Festivals,Bali
9809,Tropical,Cultural,Hiking,Bali
5738,Tropical,Budget-friendly,Camping,Dubai
9242,Snowy,Budget-friendly,Beaches,Yellowstone
1051,Rainy,Luxury,Nightlife,Maldives
9009,Tropical,Romantic,Museums,Tokyo
6506,Tropical,Romantic,Beaches,Maldives
1496,Moderate,Romantic,Festivals,Dubai
9431,Moderate,Budget-friendly,Nightlife,Dubai
1362,Desert,Cultural,Hiking,Rome
8017,Rainy,Adventure,Nightlife,Maldives
8637,Moderate,Adventure,Hiking,Tokyo
3482,Desert,Adventure,Camping,Paris
962,Moderate,Adventure,Camping,Dubai
6018,Rainy,Adventure,Skiing,Tokyo
2725,Snowy,Romantic,Festivals,Maldives
7900,Desert,Budget-friendly,Skiing,Kenya Safari
2760,Rainy,Luxury,Skiing,Paris
7485,Moderate,Luxury,Wildlife,Kenya Safari
8384,Desert,Budget-friendly,Nightlife,Sydney
9906,Tropical,Romantic,Festivals,Yellowstone
4906,Tropical,Luxury,Skiing,Tokyo
2869,Snowy,Adventure,Beaches,Bali
6003,Rainy,Budget-friendly,Skiing,Tokyo
3366,Moderate,Luxury,Nightlife,Bali
1808,Snowy,Luxury,Skiing,Kenya Safari
617,Tropical,Luxury,Festivals,Maldives
7259,Rainy,Cultural,Museums,Paris
5658,Rainy,Adventure,Nightlife,Sydney
7526,Moderate,Luxury,Camping,Dubai
4462,Tropical,Budget-friendly,Wildlife,Kenya Safari
3135,Rainy,Romantic,Hiking,Rome
9748,Tropical,Luxury,Camping,Aspen
9796,Desert,Cultural,Wildlife,Maldives
9646,Moderate,Wellness,Wildlife,Sydney
2754,Moderate,Cultural,Wildlife,Yellowstone
4498,Rainy,Cultural,Wildlife,Yellowstone
1461,Rainy,Romantic,Wildlife,Bali
8225,Desert,Cultural,Festivals,Tokyo
7496,Desert,Cultural,Nightlife,Paris
9763,Moderate,Adventure,Beaches,Kenya Safari
2998,Rainy,Budget-friendly,Beaches,Kenya Safari
4360,Rainy,Wellness,Nightlife,Paris
5866,Rainy,Romantic,Nightlife,Sydney
6444,Rainy,Budget-friendly,Wildlife,Aspen
3908,Tropical,Cultural,Hiking,Paris
9446,Desert,Romantic,Hiking,Bali
4908,Tropical,Budget-friendly,Skiing,Yellowstone
5782,Desert,Cultural,Camping,Aspen
6751,Tropical,Cultural,Beaches,Paris
6893,Rainy,Romantic,Festivals,Sydney
9182,Snowy,Adventure,Skiing,Paris
4790,Desert,Budget-friendly,Beaches,Tokyo
8520,Moderate,Adventure,Museums,Kenya Safari
2861,Rainy,Cultural,Festivals,Aspen
2208,Moderate,Adventure,Museums,Sydney
5946,Moderate,Cultural,Museums,Paris
3762,Desert,Luxury,Camping,Bali
9089,Tropical,Adventure,Beaches,Paris
9404,Snowy,Wellness,Festivals,Aspen
1121,Rainy,Wellness,Festivals,Kenya Safari
5368,Moderate,Cultural,Beaches,Dubai
7728,Desert,Luxury,Camping,Bali
9148,Rainy,Romantic,Wildlife,Maldives
7799,Snowy,Adventure,Wildlife,Tokyo
6077,Moderate,Luxury,Beaches,Rome
4299,Desert,Adventure,Wildlife,Kenya Safari
9939,Rainy,Budget-friendly,Festivals,Yellowstone
4534,Snowy,Budget-friendly,Skiing,Sydney
6279,Tropical,Luxury,Beaches,Yellowstone
3729,Tropical,Budget-friendly,Hiking,Paris
4415,Desert,Luxury,Hiking,Bali
6127,Desert,Luxury,Museums,Rome
7060,Tropical,Adventure,Wildlife,Sydney
7153,Tropical,Romantic,Wildlife,Maldives
6419,Snowy,Cultural,Museums,Bali
8566,Rainy,Wellness,Skiing,Yellowstone
7996,Rainy,Luxury,Wildlife,Rome
716,Moderate,Luxury,Wildlife,Kenya Safari
3257,Tropical,Adventure,Museums,Kenya Safari
6905,Rainy,Adventure,Festivals,Tokyo
7383,Snowy,Cultural,Camping,Bali
6792,Rainy,Cultural,Museums,Maldives
9708,Tropical,Budget-friendly,Museums,Yellowstone
2552,Moderate,Budget-friendly,Wildlife,Maldives
8755,Desert,Budget-friendly,Hiking,Aspen
9064,Desert,Cultural,Beaches,Sydney
8148,Snowy,Cultural,Wildlife,Maldives
4381,Desert,Romantic,Festivals,Maldives
7340,Moderate,Wellness,Skiing,Aspen
3091,Moderate,Romantic,Skiing,Paris
6225,Rainy,Luxury,Nightlife,Rome
1575,Snowy,Cultural,Nightlife,Rome
3473,Tropical,Adventure,Beaches,Maldives
9983,Desert,Adventure,Nightlife,Sydney
5721,Desert,Cultural,Nightlife,Dubai
1468,Moderate,Romantic,Festivals,Rome
4112,Rainy,Budget-friendly,Museums,Sydney
9825,Rainy,Romantic,Beaches,Dubai
8984,Tropical,Wellness,Festivals,Maldives
1669,Moderate,Luxury,Camping,Aspen
5563,Tropical,Adventure,Wildlife,Aspen
4087,Desert,Cultural,Skiing,Bali
6474,Tropical,Cultural,Festivals,Sydney
